                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1798,                 3.7607,                 1.0383,                0.00378,                      1,                0.01077,                0.00851,                0.25158,                 3.4495,                 0.8535,                      0,                      0,                      0
                      2,                 1.0573,                  4.038,                 1.0227,                0.00378,                      1,                0.01234,                0.00887,                0.25003,                 3.4486,                0.85343,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                 0.9716,                 3.9705,                0.99646,                0.00378,                      1,                0.01366,                0.00866,                0.25046,                 3.4468,                0.85269,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                 1.1929,                 3.7178,                 1.0581,                0.00378,                      1,                0.01255,                0.00866,                0.25266,                 3.4478,                0.85254,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                 1.1069,                 3.7179,                 1.1227,                0.00378,                      1,                 0.0108,                0.00847,                0.25542,                 3.4431,                0.85236,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                 1.2077,                 3.8165,                 1.0683,                0.00378,                      1,                0.01106,                 0.0084,                0.25916,                 3.4448,                0.85283,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                0.93992,                 3.7954,                 1.0268,                0.00378,                      1,                0.06998,                0.03064,                0.38134,                 3.4269,                0.85518,             0.00010574,             0.00010574,             0.00010574
                      8,                0.82757,                 3.3432,                0.89538,                0.00378,                      1,                0.85116,                0.68817,                0.53291,                 3.2792,                0.84101,              0.0001206,              0.0001206,              0.0001206
                      9,                0.96011,                 2.8117,                0.86291,                0.00378,                      1,                0.88628,                0.80395,                0.48374,                 3.2411,                0.81822,             0.00013466,             0.00013466,             0.00013466
                     10,                 1.0003,                 2.5412,                 0.8695,                0.00378,                      1,                0.88634,                0.75974,                0.53505,                 3.1677,                0.80923,             0.00014792,             0.00014792,             0.00014792
                     11,                0.85826,                 1.9047,                0.83415,                0.00378,                      1,                0.88639,                0.75847,                0.50446,                 3.1485,                0.80562,              0.0001604,              0.0001604,              0.0001604
                     12,                0.85222,                 1.8642,                0.86874,                0.00378,                      1,                0.88639,                0.68653,                0.66117,                 3.0703,                0.81987,             0.00017208,             0.00017208,             0.00017208
                     13,                0.97119,                 1.7935,                0.92303,                0.01125,                0.88235,                0.88639,                0.67744,                0.68138,                 2.9888,                0.81971,             0.00018298,             0.00018298,             0.00018298
                     14,                 0.9402,                 1.8234,                 0.8731,                0.94157,                0.88235,                0.88638,                0.67169,                0.73489,                 2.9888,                0.83088,             0.00019308,             0.00019308,             0.00019308
                     15,                0.86627,                 1.5392,                0.87381,                0.96249,                0.88235,                0.88649,                0.72171,                 0.6661,                 2.9973,                0.82738,             0.00020238,             0.00020238,             0.00020238
                     16,                0.77711,                 1.4165,                0.83691,                0.96268,                0.88235,                0.88663,                0.74577,                0.64497,                 2.9805,                0.83087,              0.0002109,              0.0002109,              0.0002109
                     17,                0.63631,                  1.411,                0.81208,                0.01407,                0.88235,                0.88675,                0.72723,                0.65818,                 3.0166,                0.83473,             0.00021862,             0.00021862,             0.00021862
                     18,                0.64315,                 1.2073,                0.80704,                0.01407,                0.88235,                0.88675,                0.72723,                0.65818,                 3.0166,                0.83473,             0.00022556,             0.00022556,             0.00022556
                     19,                0.59807,                 1.3889,                0.81115,                0.00378,                      1,                0.88686,                0.69113,                0.76157,                 2.9947,                0.84831,              0.0002317,              0.0002317,              0.0002317
